#t/Tc 	 (Rf-Ro)/Ro 	 (Rfmax-Ro)/Ro 	 H/R 	 H/Rmax 	 Ep/Eo 	 Ek/Eo 	 Ec/Eo 	 Ekx/Eo 	 Eky/Eo 	 t/(d/g)^0.5 	 H/d 	 KE/mgd 	 KEx/mgd 	 KEy/mgd 
1.58358342808 	 10.4693468222 	 10.5262743436 	 0.428668066605 	 0.42590042327 	 0.145376908877 	 0.0126520319219 	 0.841971059201 	 0.00257477224168 	 0.00257477224168 	 0.455409300071 	 0.886802657622 	 0.684596388113 	 0.139319896421 	 0.139319896421 
1.59723499833 	 10.5458561612 	 10.5949561894 	 0.425067761813 	 0.422622296028 	 0.144676780822 	 0.0122097172291 	 0.843113501949 	 0.00267482917181 	 0.00267482917181 	 0.459335239141 	 0.885220533387 	 0.660662916957 	 0.144733936901 	 0.144733936901 
1.61088656857 	 10.3660986482 	 10.6624908062 	 0.431119320291 	 0.419522056278 	 0.143959299912 	 0.0119460479083 	 0.844094652179 	 0.00281129182009 	 0.00281129182009 	 0.463261178212 	 0.883844930162 	 0.646395875443 	 0.152117876231 	 0.152117876231 
1.62453813882 	 10.552457799 	 10.7306689904 	 0.423469529201 	 0.41640025107 	 0.143231000766 	 0.011819041138 	 0.844949958096 	 0.00288893618601 	 0.00288893618601 	 0.467187117282 	 0.882396394692 	 0.639523589889 	 0.156319181824 	 0.156319181824 
1.63818970907 	 10.419632366 	 10.7993148604 	 0.427714226618 	 0.413319822983 	 0.142514141401 	 0.0114641189831 	 0.846021739616 	 0.00284505513353 	 0.00284505513353 	 0.471113056353 	 0.880994073714 	 0.620318894011 	 0.153944795621 	 0.153944795621 
1.65184127932 	 10.5396508618 	 10.8679287519 	 0.422464716635 	 0.410152523968 	 0.141802455975 	 0.0112130804576 	 0.846984463567 	 0.00280149157278 	 0.00280149157278 	 0.475038995423 	 0.87932674151 	 0.606735299778 	 0.151587588768 	 0.151587588768 
1.66549284957 	 10.726062057 	 10.9320576573 	 0.414932748654 	 0.407147492194 	 0.141041399745 	 0.010918874816 	 0.848039725439 	 0.00271129200487 	 0.00271129200487 	 0.478964934494 	 0.877600919091 	 0.590815950156 	 0.146706926217 	 0.146706926217 
1.67914467567 	 10.6886260867 	 10.9876363084 	 0.415609894436 	 0.404625260469 	 0.140358086993 	 0.0105299407298 	 0.849111972277 	 0.00265664647095 	 0.00265664647095 	 0.482890947143 	 0.876226760068 	 0.569770882275 	 0.143750078227 	 0.143750078227 
1.69279624592 	 10.6586444824 	 11.0506459659 	 0.416005648018 	 0.4018594308 	 0.139663569638 	 0.0103440451235 	 0.849992385238 	 0.00261563292312 	 0.00261563292312 	 0.486816886214 	 0.874811441264 	 0.559712145349 	 0.141530851555 	 0.141530851555 
1.70644781617 	 10.8726072066 	 11.1101180007 	 0.40772426109 	 0.399118156936 	 0.138967170851 	 0.0102046024206 	 0.850828226728 	 0.00263431453956 	 0.00263431453956 	 0.490742825284 	 0.873131833336 	 0.552166956454 	 0.14254170635 	 0.14254170635 
1.72009938641 	 10.7062251162 	 11.1691063605 	 0.412642776799 	 0.396341581587 	 0.13825150418 	 0.0100133665697 	 0.85173512925 	 0.00264879485012 	 0.00264879485012 	 0.494668764355 	 0.871281087369 	 0.541819261035 	 0.143325230164 	 0.143325230164 
1.73375095666 	 10.8847776001 	 11.2269115155 	 0.405727236255 	 0.393772750068 	 0.137500459859 	 0.00991759325816 	 0.852581946883 	 0.00278423278964 	 0.00278423278964 	 0.498594703425 	 0.869745899728 	 0.536637005443 	 0.150653722914 	 0.150653722914 
1.74740252691 	 11.0405266097 	 11.2827220108 	 0.399747170548 	 0.391267219137 	 0.136717918343 	 0.00967074091986 	 0.853611340737 	 0.00287058717995 	 0.00287058717995 	 0.502520642496 	 0.868156554479 	 0.523279924127 	 0.155326324443 	 0.155326324443 
1.76105409716 	 11.0710326619 	 11.3354305906 	 0.398026519801 	 0.388901238849 	 0.135889332127 	 0.00947786217533 	 0.854632805698 	 0.00296602452145 	 0.00296602452145 	 0.506446581566 	 0.866609813214 	 0.512843332386 	 0.160490400829 	 0.160490400829 
1.77470566741 	 11.096482396 	 11.3845815612 	 0.396591735732 	 0.386775206199 	 0.135080232175 	 0.00910799103161 	 0.855811776793 	 0.00300877671445 	 0.00300877671445 	 0.510372520637 	 0.865306420132 	 0.492829752701 	 0.162803704897 	 0.162803704897 
1.78835723766 	 11.3011371711 	 11.431965719 	 0.389328718002 	 0.38464412491 	 0.134321443744 	 0.00875044831008 	 0.856928107946 	 0.00295203304736 	 0.00295203304736 	 0.514298459707 	 0.863831166909 	 0.473483259009 	 0.159733327761 	 0.159733327761 
