#t/Tc	(Rf-Ro)/Ro	r085	#t/Tc	(Rf-Ro)/Ro	r09	#t/Tc	(Rf-Ro)/Ro	r075	#t/Tc	(Rf-Ro)/Ro	r08
1.1057793203	7.8825169931	8.0101566266	1.1057782135	7.6780590624	7.7970443862	1.1057900197	7.978342005	8.0789994396	1.1057807961	7.8676347903	8.1086311558
1.1194309043	7.8277242056	8.0958131897	1.1194297838	7.7865156844	7.9014022577	1.1194417357	7.9159032798	8.175340317	1.1194323982	8.0559433281	8.2101358379
1.1330824882	8.0628415541	8.1801146298	1.133081354	7.7504689004	8.0102690992	1.1330934517	8.0668459056	8.2674399733	1.1330840004	8.107576056	8.3090342485
1.1467340721	8.0486329027	8.2612820982	1.1467329243	7.9433816479	8.1218581114	1.1467451677	8.1969035645	8.3576008999	1.1467356025	8.2526544939	8.4055022709
1.160385656	8.2426776802	8.3533505116	1.1603844945	8.0443799004	8.2314164881	1.1603968837	8.2582894343	8.4512235583	1.1603872046	8.2952280759	8.4984606209
1.1740372399	8.3636774184	8.4534697144	1.1740360648	8.2313795982	8.3377770139	1.1740485997	8.2240095854	8.5569143097	1.1740388068	8.4308510553	8.5871058314
1.1876888238	8.2856439374	8.549791375	1.187687635	8.1821015147	8.4420149659	1.1877003157	8.3688592613	8.6607422817	1.1876904089	8.5108261397	8.682774384
1.2013404077	8.5669704305	8.6427831907	1.2013392053	8.2619376948	8.5417439481	1.2013520317	8.6660847272	8.7659973186	1.201342011	8.5666221516	8.7789026318
1.2149919916	8.4862225325	8.7328968692	1.2149907755	8.2970076445	8.6363723578	1.2150037477	8.5583652159	8.8713962612	1.2149936132	8.7241824351	8.8686990788
1.2286435756	8.6599452152	8.8171303532	1.2286423458	8.1160451025	8.7259041924	1.2286554637	8.6725539829	8.9755160419	1.2286452153	8.8046058731	8.9504528597
1.2422951595	8.8436607956	8.896171198	1.242293916	8.3206318196	8.8106792236	1.2423071797	8.7698610351	9.0766497791	1.2422968174	8.8991444451	9.0461573884
1.2559467434	8.8569286092	8.9715584074	1.2559454863	8.3832973359	8.8884269771	1.2559588957	8.7659378479	9.1742298446	1.2559484195	9.0413005779	9.1453476055
1.2695983273	9.0056690477	9.0459302739	1.2695970565	8.4397495461	8.9572966966	1.2696106117	8.883413285	9.2685200657	1.2696000217	9.0835338915	9.242527156
1.2832499112	8.8725705368	9.1206099413	1.2832486268	8.6065760159	9.0135708804	1.2832623277	9.000952774	9.3587769294	1.2832516238	9.1922756671	9.3337266725
1.2969014951	8.9994314938	9.1971564004	1.296900197	8.4523402986	9.0812174219	1.2969140437	9.1268350408	9.445979794	1.2969032259	9.303871694	9.4329168895
1.310553079	9.196118624	9.2742425103	1.3105517673	8.8627547926	9.1522816667	1.3105657597	9.2817769156	9.5290093931	1.3105548281	9.3046362971	9.529065124
1.3242046629	9.3298777231	9.3499295256	1.3242033375	8.8658694525	9.2256123885	1.3242174757	9.4184199244	9.6073940354	1.3242064302	9.3565132176	9.6186457142
1.3378562469	9.2882966994	9.4239376276	1.3378549078	9.0876348402	9.2977079403	1.3378691917	9.4555460856	9.6819571817	1.3378580323	9.4714879097	9.7201823751
1.3515078308	9.2856223181	9.4934686271	1.351506478	8.8174120699	9.3651786	1.3515209077	9.6586350751	9.7520712429	1.3515096345	9.6413859252	9.8231900604
1.3651594147	9.4461092157	9.5584785527	1.3651580483	9.2614873102	9.4266972594	1.3651726237	9.6943841177	9.8297003803	1.3651612366	9.710000048	9.9249665622
1.3788112545	9.4630122661	9.6253752571	1.3788098744	9.3511919179	9.505056602	1.3788245956	9.8621604191	9.9097479332	1.3788130946	9.804434538	10.0206590989
1.3924628384	9.4827218155	9.7090491034	1.3924614446	9.5370346276	9.5811694541	1.3924763116	9.8973730259	9.9860259558	1.3924646967	9.9544008314	10.1089005771
1.4061144223	9.5856574694	9.7809665584	1.4061130149	9.5175660014	9.6579898308	1.4061280276	9.8491618591	10.061008827	1.4061162989	10.0513252854	10.1895830685
1.4197660062	9.7058885231	9.8488106498	1.4197645851	9.1824638241	9.7335870295	1.4197797436	10.0616664979	10.1337491675	1.419767901	10.040120447	10.260416092
1.4334175901	9.8186929642	9.9359422582	1.4334161554	9.545974262	9.807245531	1.4334314596	10.1450142095	10.2029478286	1.4334195031	10.1968480738	10.324793397
1.447069174	9.9051979883	10.0137359101	1.4470677256	9.6046643834	9.8777221707	1.4470831756	10.1807072065	10.2721544844	1.4470711052	10.312235091	10.4070468465
1.4607207579	9.7481221279	10.084238281	1.4607192958	9.5732375449	9.9458443926	1.4607348916	10.2816812378	10.3464817851	1.4607227074	10.3653890189	10.4859185388
1.4743723418	9.9277420615	10.1510710268	1.4743708661	9.758759981	10.0096974833	1.4743866076	10.3523546529	10.4162400795	1.4743743095	10.5098629799	10.5786090665
1.4880239258	10.0698245718	10.2165766316	1.4880224363	9.9350785571	10.0697571232	1.4880383236	10.407331316	10.4833401156	1.4880259116	10.571451561	10.6718672177
1.5016755097	9.9993458175	10.2786964277	1.5016740066	9.9732351428	10.1295689297	1.5016900396	10.4017427758	10.5459550902	1.5016775138	10.663604251	10.7592812447
1.5153270936	10.3293876868	10.336103274	1.5153255768	10.0912959668	10.1896325669	1.5153417556	10.3085991059	10.618719415	1.5153291159	10.670001297	10.8403394869
1.5289786775	10.3163480763	10.3885173516	1.5289771471	9.7975891411	10.2523384286	1.5289934716	10.5319885875	10.6948415398	1.528980718	10.6941243253	10.9151258885
1.5426302614	10.4051271252	10.4620177821	1.5426287173	10.1643903894	10.3184579962	1.5426451876	10.4834011151	10.7668463623	1.5426323202	10.6899170065	10.9831167969
